쓰레드 이름 : http-nio-8080-exec-5 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 119900 ns
쓰레드 이름 : http-nio-8080-exec-8 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 129100 ns
쓰레드 이름 : http-nio-8080-exec-7 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 157800 ns
쓰레드 이름 : http-nio-8080-exec-10 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 75400 ns
쓰레드 이름 : http-nio-8080-exec-2 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 99000 ns
쓰레드 이름 : http-nio-8080-exec-1 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 57800 ns
쓰레드 이름 : http-nio-8080-exec-3 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 57000 ns
쓰레드 이름 : http-nio-8080-exec-4 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 78000 ns
쓰레드 이름 : http-nio-8080-exec-6 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 106800 ns
쓰레드 이름 : http-nio-8080-exec-8 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 64800 ns
쓰레드 이름 : http-nio-8080-exec-7 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 55200 ns
쓰레드 이름 : http-nio-8080-exec-10 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 53400 ns
쓰레드 이름 : http-nio-8080-exec-9 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 59700 ns
쓰레드 이름 : http-nio-8080-exec-2 ,[24년 11월 11일 17시 11분 06초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 72200 ns
쓰레드 이름 : http-nio-8080-exec-3 ,[24년 11월 11일 17시 11분 07초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 61700 ns
쓰레드 이름 : http-nio-8080-exec-4 ,[24년 11월 11일 17시 11분 07초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 74600 ns
쓰레드 이름 : http-nio-8080-exec-6 ,[24년 11월 11일 17시 11분 07초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 56900 ns
쓰레드 이름 : http-nio-8080-exec-5 ,[24년 11월 11일 17시 11분 07초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 96700 ns
쓰레드 이름 : http-nio-8080-exec-8 ,[24년 11월 11일 17시 11분 07초] HTTP 메소드: GET, 요청 URI: /api/traffic/request, Latency: 59700 ns
